title	score	link	summary	published	tickers
Федун уйдет с поста вице-президента ЛУКОЙЛа на пенсию	-0.4666666666666666	https://www.rbc.ru/business/27/06/2022/62b9bc3a9a794737cd989df7	Леонид Федун покинул должность вице-президента ЛУКОЙЛа, сообщили в пресс-службе компании.	Mon, 27 Jun 2022 17:19:50 +0300	['LKOH']
Федун покинул пост вице-президента ЛУКОЙЛа	-0.19999999999999996	https://www.rbc.ru/business/27/06/2022/62b9bc3a9a794737cd989df7	Леонид Федун покинул должность вице-президента ЛУКОЙЛа, сообщили в пресс-службе компании.	Mon, 27 Jun 2022 17:19:50 +0300	['LKOH']
ФАС разрешила производителю сыра купить «Вимм-Билль-Данн» у PepsiCo	0.375	https://www.rbc.ru/business/04/05/2022/627283619a794723049196e9	Федеральная антимонопольная служба (ФАС) одобрила сделку по покупке производителем сыра «Мультипро» компании «Вимм-Билль-Данн Напитки», сообщает в Telegram-канале ведомства.	Wed, 04 May 2022 16:49:03 +0300	['PEP']
ФАС разрешила ЛУКОЙЛу купить «дочку» Shell	0.8181818181818181	https://www.rbc.ru/business/12/05/2022/627ccec39a7947f9820a1bdc	Антимонопольная служба одобрила сделку о приобретении ЛУКОЙЛом 99,9% ООО «Шелл нефть», но с условиями: от ЛУКОЙЛа требуют регулярно продавать нефтепродукты на бирже и не приобретать топливо в основную сессию торгов	Thu, 19 May 2022 18:03:16 +0300	['LKOH']
"ФАС продлила выданное ранее ""Магниту"" предписание о нулевых наценках на ряд товаров"	0.22580645161290325	https://www.finam.ru/analysis/newsitem/fas-prodlila-vydannoe-ranee-magnitu-predpisanie-o-nulevyx-nacenkax-na-ryad-tovarov-20220727-095011/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns	"ФАС России продлила ранее выданное АО ""Тандер"" (торговая сеть ""Магнит"") предписание еще на год, сообщается на сайте ведомства.
Речь идет о предписании, которое ФАС России выдала АО ""Тандер"" в июле 2021 года при удовлетворении ходатайства о приобретении торговой сети ""Дикси"" и магазинов ""Мегамарт"", которое предусматривает ряд строгих ограничений и требований.
Благодаря продлению предписания ретейлеры продолжат соблюдать добровольно взятые на себя обязательства по установлению нулевых торговых наценок на отдельные позиции ряда товаров ""потребительской корзины"" и будут далее поддерживать социально незащищенные слои населения посредством реализации программы лояльности для пенсионеров, их родственников и лиц, ухаживающих за ними.
"	Wed, 27 Jul 2022 09:50:11 +0300	['MGNT']
ФАС предложила обязать «Газпром» продавать 10% газа на бирже	0.19999999999999996	https://www.rbc.ru/economics/22/06/2022/62b2bf069a794709084033e6	ФАС разработала нормативы продажи газа на бирже для «Газпрома» и независимых производителей, следует из сообщения службы.	Wed, 22 Jun 2022 10:09:30 +0300	['GAZP']
ФАС обвинила Apple в нарушении антимонопольного законодательства	-0.6000000000000001	https://www.rbc.ru/business/23/05/2022/628b7b209a7947d7f35fb589	Дело против компании открыли еще осенью прошлого года. Регулятор пришел к выводу, что Apple злоупотребляет своим положением на рынке, не позволяя оплачивать покупки в приложениях за пределами App Store	Tue, 19 Jul 2022 13:29:22 +0300	['AAPL']
Умер генеральный директор Xerox	-0.853658536585366	https://www.rbc.ru/rbcfreenews/5e83fd489a794720562c3009	Вице-председатель и главный исполнительный директор американской корпорации Xerox Holdings Джон Висентин умер 28 июня от последствий болезни, говорится в заявлении на сайте компании.	Thu, 30 Jun 2022 11:55:39 +0300	['XRX']
"Украинский оператор ГТС утверждает, что ""Газпром"" увеличил давление в пограничном участке"	0.19047619047619047	https://www.finam.ru/analysis/newsitem/ukrainskiiy-operator-gts-utverzhdaet-chto-gazprom-uvelichil-davlenie-v-pogranichnom-uchastke-20220726-082858/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns	"МОСКВА, 26 июл - РИА Новости. Оператор газотранспортной системы (ОГТС) Украины утверждает, что ""Газпром"" без предупреждения увеличил давление в пограничном участке украинской газотранспортной системы, сообщает издание ""Страна.ua"".
Отмечается, что специалисты оператора якобы обнаружили резкий рост давления на участке газопровода ""Уренгой-Помары-Ужгород"" вблизи границы с Россией.
""Изменение давления произошло без предупреждения со стороны ПАО ""Газпром"", - говорится в заявлении украинского оператора.
Как отмечает издание, украинская сторона проинформировала ""Газпром"" о том, что несвоевременное сообщение информации о смене режимов может привести к внештатным ситуациям.
"	Tue, 26 Jul 2022 08:28:58 +0300	['GAZP']
Украина пригрозила исками JPMorgan и HSBC из-за российской нефти	-0.6153846153846154	https://www.rbc.ru/economics/16/07/2022/62d20e589a79473f160ce5ab	Власти Украины призвали руководство американских и европейских банков разорвать связи с компаниями, которые торгуют российской нефтью, сообщает Financial Times.	Sat, 16 Jul 2022 04:39:47 +0300	['JPM']
Убыток Mastercard из-за ухода из России во II квартале составил $26 млн	-0.43999999999999995	https://www.vedomosti.ru/economics/news/2022/07/28/933554-ubitok-mastercard-iz-za-uhoda		Thu, 28 Jul 2022 21:17:07 +0300	['MA']
Убитую семью экс-вице-президента Газпромбанка нашел водитель	-0.7931034482758621	https://www.rbc.ru/rbcfreenews/6253dcf89a7947a7bf2b7c89	Первым на место гибели семьи бывшего топ-менеджера Газпромбанка Владислава Аваева приехал его личный водитель. Следственный комитет расследует дело об убийстве малолетнего ребенка и беременной женщины.	Tue, 19 Apr 2022 12:09:22 +0300	['GAZP']
Убитую семью экс-вице-президента «Газпромбанка» нашел водитель	-0.8571428571428572	https://www.rbc.ru/rbcfreenews/6253dcf89a7947a7bf2b7c89	Первым на место гибели семьи бывшего топ-менеджера Газпромбанка Владислава Аваева приехал его личный водитель. Следственный комитет расследует дело об убийстве малолетнего ребенка и беременной женщины.	Tue, 19 Apr 2022 12:09:22 +0300	['GAZP']
УГМК выкупила долги Petropavlovsk у Газпромбанка	0.4285714285714286	https://www.rbc.ru/business/14/04/2022/6257d50a9a7947906ff984cd	УГМК Искандера Махмудова и Андрея Бокарева получила от Газпромбанка права требования к золотодобывающей компании Petropavlovsk. Ранее УГМК претендовала на покупку GV Gold, но эта сделка приостановлена	Wed, 20 Apr 2022 13:54:26 +0300	['GAZP']
У погибшего бывшего вице-президента Газпромбанка нашли 13 единиц оружия	-0.7435897435897436	https://www.rbc.ru/rbcfreenews/62020dd59a7947510afd3fab	Бывший вице-президент Газпромбанка Владислав Аваев, которого накануне нашли мертвым в квартире на Университетском проспекте в Москве, владел 13 единицами гражданского оружия, «в том числе нарезного, гладкоствольного и ограниченного поражения», сообщает ТАСС со ссылкой на пресс-службу Росгвардии.	Tue, 19 Apr 2022 02:13:43 +0300	['GAZP']
Тяготы и лишения контрактной тяжбы // «Нафтогаз Украины» собирается судиться с «Газпромом»	-0.8181818181818181	https://www.kommersant.ru/doc/5423229	Украина собирается начать новое арбитражное разбирательство с «Газпромом» по контракту на транзит газа. «Нафтогаз» не устраивает, что «Газпром» не полностью оплатил в мае законтрактованные мощности, хотя до этого украинская компания сама лишила монополию возможности использовать часть из них. По словам главы «Нафтогаза» Юрия Витренко, будут также возобновлены разбирательства по иску к «Газпрому» на $12 млрд, которые «Нафтогаз» обязался прекратить в рамках договоренностей конца 2019 года. Эксперты отмечают, что спор политизирован, его рассмотрение в арбитраже может затянуться не на один год, а итоговое решение может быть невозможно исполнить.	Wed, 22 Jun 2022 00:26:00 +0300	['GAZP']
Турбина набирает документооборот // У «Газпрома» возникли вопросы к канадской лицензии	-0.1578947368421053	https://www.kommersant.ru/doc/5479813	По данным “Ъ”, Siemens Energy 24 июля передала «Газпрому» экспортную лицензию Канады, позволяющую ремонтировать и транспортировать газовые турбины для «Северного потока». Теперь, чтобы Siemens могла ввезти турбину в Россию, «Газпром» должен изменить базис доставки машины с канадского Монреаля на конечный пункт в РФ. Из-за бумажных проволочек турбина уже пропустила паром, которым должна была уйти из Германии в Хельсинки 23 июля. Если стороны успешно обменяются документами, транспортировка машины может произойти в ближайшие несколько дней. Но источники “Ъ” сомневаются, что доставка турбины приведет к росту прокачки по «Северному потоку»: еще несколько машин нуждаются в ремонте.	Sun, 24 Jul 2022 17:03:00 +0300	['GAZP']
Турбина забуксовала в бумагах // У «Газпрома» возникли вопросы к канадской лицензии	-0.032258064516129004	https://www.kommersant.ru/doc/5479813	По данным “Ъ”, Siemens Energy 24 июля передала «Газпрому» экспортную лицензию Канады, позволяющую ремонтировать и транспортировать газовые турбины для «Северного потока». Теперь, чтобы Siemens могла ввезти турбину в Россию, «Газпром» должен изменить базис доставки машины с канадского Монреаля на конечный пункт в РФ. Из-за бумажных проволочек турбина уже пропустила паром, которым должна была уйти из Германии в Хельсинки 23 июля. Если стороны успешно обменяются документами, транспортировка машины может произойти в ближайшие несколько дней. Но источники “Ъ” сомневаются, что доставка турбины приведет к росту прокачки по «Северному потоку»: еще несколько машин нуждаются в ремонте.	Sun, 24 Jul 2022 17:03:00 +0300	['GAZP']
Транзит газа перешел в режим спецоперации // Контракт «Газпрома» с Украиной может развалиться	-0.9285714285714286	https://www.kommersant.ru/doc/5348058	Объявленный Украиной форс-мажор по транзиту российского газа через пункт Сохрановка ставит вопрос о том, продолжит ли «Газпром» платить Киеву за транзит в полном объеме. По условиям контракта «Газпром» обязан платить Украине за мощности по прокачке 109,5 млн кубометров в сутки, но теперь компания не может воспользоваться 30% забронированных мощностей. Глава «Нафтогаза Украины» Юрий Витренко заявил, что «Газпром» все равно должен платить за транзит полностью.	Wed, 11 May 2022 22:41:00 +0300	['GAZP']
Трамп отказался возвращаться в Twitter после его покупки Маском	0.21212121212121215	https://www.rbc.ru/business/14/04/2022/6257f64b9a7947a2677bd5af	Экс-президент США Дональд Трамп отказался возвращаться в Twitter после покупки компании основателем Tesla и Space X Илоном Маском.	Tue, 26 Apr 2022 00:20:57 +0300	['TWTR']
Тиньков решил уйти на пенсию после продажи доли в TCS Group	0.11111111111111116	https://www.rbc.ru/business/28/04/2022/626ab6d39a79479194e49763	Бизнесмен, основатель TCS Group (владеет Тинькофф Банком, «Тинькофф Страхованием» и другими активами) Олег Тиньков после продажи доли в группе объявил, что уходит на пенсию.	Thu, 28 Apr 2022 18:52:11 +0300	['TCSG']
Тиньк-офф // Долю Олега Тинькова в TCS Group Holding покупает холдинг Владимира Потанина	0.5517241379310345	https://www.kommersant.ru/doc/5329925	«Интеррос» выкупил долю Олега Тинькова в TCS Group, контролирующей Тинькофф-банк. Две недели назад холдинг Владимира Потанина договорился о покупке другого крупного банка — Росбанка у Societe Generale. Источники “Ъ” и эксперты отмечают, что, несмотря на «разные корпоративные культуры» банков, их бизнес хорошо дополняет друг друга, поэтому перспективным выглядит полное объединение. Но для этого потребуется выкупать доли других акционеров TCS Group, а также перевести ее в российскую юрисдикцию.	Thu, 28 Apr 2022 23:59:00 +0300	['TCSG']
Тайваньский подрядчик Apple приостановил работу на двух заводах в Китае	-0.5757575757575757	https://www.rbc.ru/society/24/04/2022/626531789a7947231b03ea2d	Ранее в китайском Куньшане, где расположены заводы Foxconn, была зафиксирована новая вспышка COVID-19. В компании заверили, что приостановка работы не повлияет на производство продуктов Apple	Mon, 25 Apr 2022 07:47:23 +0300	['AAPL']
ТГК-1 не будет публиковать финотчетность по РСБУ за 1 полугодие	-0.3333333333333333	https://www.finam.ru/analysis/newsitem/tgk-1-ne-budet-publikovat-finotchetnost-po-rsbu-za-1-polugodie-20220727-120958/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns	"ПАО ""ТГК-1"" приняло решение не публиковать финансовую отчетность по результатам первого полугодия 2022 года, говорится в сообщении компании."	Wed, 27 Jul 2022 12:09:58 +0300	['TGKA']
Суд в США отклонил иск Трампа к Twitter	0.25	https://www.rbc.ru/politics/09/01/2021/5ff8f6599a7947cb28665d7e	Окружной судья штата Сан-Франциско Джеймс Донато отклонил иск бывшего президента США Дональда Трампа против Twitter, в котором оспаривалась блокировка аккаунта последнего, следует из письменного постановления судьи.	Sat, 07 May 2022 04:56:01 +0300	['TWTR']
Суд в Латвии разблокировал пять телеканалов холдинга «Газпром-медиа»	0.36000000000000004	https://www.rbc.ru/technology_and_media/26/04/2022/6266ae819a794798da576971	Решение суда касается телеканалов THT-Comedy, THT4 International, FRIDAY International, KHL TV и TNT Music. Теперь они могут продолжить работу в Латвии, однако регулятор обещал обжаловать вердикт	Fri, 29 Apr 2022 19:15:48 +0300	['GAZP']
Суд в Латвии разблокировал пять телеканалов холдинга «Газпром-Медиа»	0.3076923076923077	https://www.rbc.ru/technology_and_media/26/04/2022/6266ae819a794798da576971	Решение суда касается телеканалов THT-Comedy, THT4 International, FRIDAY International, KHL TV и TNT Music. Теперь они могут продолжить работу в Латвии, однако регулятор обещал обжаловать вердикт	Fri, 29 Apr 2022 19:15:48 +0300	['GAZP']
Суд арестовал ответственного за покупку самолетов в «Аэрофлоте»	-0.43999999999999995	https://www.rbc.ru/business/10/06/2022/62a1d11d9a794776e04ebfdd	Задержан топ-менеджер «Аэрофлота» Михаил Минаев. Он возглавляет департамент планирования воздушных судов	Wed, 15 Jun 2022 11:29:30 +0300	['AFLT']
Суд Шри-Ланки снял запрет на вылет задержанного самолета «Аэрофлота»	0.3170731707317073	https://www.rbc.ru/politics/11/05/2022/627bfcf19a7947be0b861c0f	Самолет «Аэрофлота» задержали в Коломбо по требованию лизинговой компании еще 2 июня, более 200 пассажиров тогда сняли с рейса. Воздешному судну разрешили вернуться в Россию	Mon, 06 Jun 2022 12:54:29 +0300	['AFLT']
Суд Шри-Ланки запретил самолету «Аэрофлота» покидать страну	-0.9259259259259258	https://www.rbc.ru/business/12/05/2022/627cf5189a79470bdb3832e2	Airbus A330 компании «Аэрофлот» был задержан в международном аэропорту Бандаранаике накануне по требованию ирландской лизинговой компаниии. Суд Коломбо запретил самолету покидать страну до 16 июня	Fri, 03 Jun 2022 10:31:32 +0300	['AFLT']
Спрос на оплату по QR вырос после прекращения работы Apple и Google Pay	0.4090909090909091	https://www.rbc.ru/finances/23/03/2022/6239f5ba9a7947efcf447152	Многие банки видят рост интереса магазинов и покупателей к платежам по QR-коду, в частности через систему ЦБ. «Китайский» способ оплаты набирает популярность в условиях, когда Apple Pay и Google Pay перестали работать в России	Tue, 29 Mar 2022 06:10:04 +0300	['AAPL']
Спекулянты отыгрались на «Газпроме» // Акции монополии подозрительно рухнули и закономерно взлетели	-0.3076923076923077	https://www.kommersant.ru/doc/5369314	Ожидания выплаты дивидендов по акциям «Газпрома» спровоцировали спекулятивную игру с этими ценными бумагами. В середине торговой сессии крупная заявка обвалила котировки почти на 13%, что даже развернуло индекс Московской биржи. Однако решение компании выплатить рекордные дивиденды вернуло котировки к максимальному значению с конца февраля. Эксперты отмечают, что причиной колебаний могла быть манипуляция либо ошибка трейдера, усиленная технической продажей большого объема бумаг. В ЦБ говорят о возможности начала расследования этой ситуации.	Thu, 26 May 2022 22:14:00 +0300	['GAZP']
Сотрудники «Аэрофлота» пожаловались на реформу техобслуживания самолетов	-0.5	https://www.rbc.ru/society/06/07/2022/62c53c6d9a7947c07315c296	Сотрудники «Аэрофлота» пожаловались на реформу блока по техобслуживанию, состоящего из 2 тыс. человек, — специалисты опасаются сокращений. Перевозчик такой риск опровергает: в компании идет создание крупнейшего провайдера техуслуг	Thu, 07 Jul 2022 08:00:54 +0300	['AFLT']
"События предстоящего дня: ""Магнит"" опубликует финансовые результаты"	0.5609756097560976	https://www.finam.ru/analysis/newsitem/sobytiya-predstoyashego-dnya-magnit-opublikuet-finansovye-rezultaty-20220727-205815/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns	"В четверг, 28 июля, ""Магнит"" опубликует финансовые результаты за 2 квартал и 1 полугодие 2022 года. Чистая прибыль во 2 квартале 2021 года составила 12,1 млрд рублей, а выручка достигла 424,3 млрд рублей (+9,6% г/г).
O`KEY Group, в свою очередь, представит операционные результаты за 2 квартал и 1 полугодие 2022 год. Чистая розничная выручка O`KEY Group в 1 полугодии 2021 года выросла на 4% в годовом выражении до 87 698 млн рублей.
Еще завтра бумаги O`KEY торгуются последний день с дивидендами. Совет директоров компании одобрил выплату промежуточных дивидендов в размере 8,5 млн евро, или 0,03159 евро на одну обыкновенную акцию. Закрытие дивидендного реестра - 1 августа 2022 года.
Кроме того, завтра пройдет внеочередное общее собрание акционеров ТГК-14. Акционеры обсудят заключение договора с ""Промсвязьбанком"".
И последнее, но не менее значимое событие - заседание совета директоров МТС. Совет среди прочих вопросов рассмотрит тему организационных изменений компании."	Wed, 27 Jul 2022 20:58:15 +0300	['MGNT']
Смартфоны новых реалий // Китайский Realme потеснил Apple по продажам в России	0.6875	https://www.kommersant.ru/doc/5348033	Продажи смартфонов на российском рынке в апреле снизились, по данным ритейлеров, на 30%. При этом предпочтения пользователей сместились в сторону бюджетных моделей, в первую очередь китайских: в тройку лидеров вошел бренд Realme, вытеснив Apple на четвертое место. Китайская компания продолжает поставки в Россию и даже первой после начала военных действий на Украине планирует в ближайшее время анонс нового устройства. В целом рынок, по мнению аналитиков, вряд ли вернется к росту. Но поставки будут постепенно восстанавливаться, что приведет к определенному снижению цен.	Thu, 12 May 2022 01:18:00 +0300	['AAPL']
Следствие назвало причину смерти бывшего топ-менеджера ЛУКОЙЛа	-0.7297297297297298	https://www.rbc.ru/society/30/01/2022/61f6ad1b9a79472897e057f9	Тело бывшего топ-менеджера ЛУКОЙЛа Александра Субботина обнаружили 8 мая в частном доме в Мытищах. Он умер от сердечной недостаточности. Сообщалось, что хозяин дома — шаман, проводивший ритуал вуду	Wed, 11 May 2022 19:46:25 +0300	['LKOH']
Сжижай отечественным // НОВАТЭК планирует новый СПГ-завод на российском оборудовании	0.75	https://www.kommersant.ru/doc/5368501	НОВАТЭК на фоне санкций ЕС, запретивших поставку оборудования для сжижения газа, планирует построить СПГ-завод мощностью 5 млн тонн по российской технологии. Как сообщил глава компании Леонид Михельсон, уже начаты предпроектные работы. Пока не ясно, о какой ресурсной базе идет речь, но ранее аналогичная мощность заявлялась для проекта «Обского СПГ».	Wed, 25 May 2022 21:31:00 +0300	['NVTK']
Сеть магазинов re:Store подтвердила, что завезла технику Apple в июне	0.5416666666666667	https://www.rbc.ru/finances/01/07/2022/62bdc5759a79472322b1d747	В сети магазинов re: Store, которая продает технику Apple, сообщили РБК, что у нее в продаже есть продукция американской компани, поступившая на склады в июне, когда в России был разрешен параллельный импорт.	Tue, 05 Jul 2022 20:02:12 +0300	['AAPL']
Сеть re:Store подтвердила завоз техники после остановки поставок Apple	0.5789473684210527	https://www.rbc.ru/finances/01/07/2022/62bdc5759a79472322b1d747	MacBook и iPhone поступили на склады в июне, хотя Apple объявила о приостановке продаж 1 марта	Tue, 05 Jul 2022 20:02:12 +0300	['AAPL']
Серверам предложили единое окно // «Ростелеком» хочет консолидировать поставки техники госсектору	0.631578947368421	https://www.kommersant.ru/doc/5348705	“Ъ” узнал, что «Ростелеком» предложил назначить свою структуру единственным поставщиком вычислительной техники (серверов и СХД) для российского рынка и создать таким образом «единое окно» для закупок. Речь может идти о поставках не только ведомствам, но и коммерческим компаниям. По данным “Ъ”, идея обсуждается, но ее резко критикуют другие российские IT-интеграторы и не поддерживают в Минцифры.	Fri, 13 May 2022 01:34:00 +0300	['RTKM']
Сбербанк, Россельхозбанк и МКБ отключат от SWIFT 14 июня	-0.8333333333333333	https://www.rbc.ru/economics/09/04/2022/62518a169a79471c2599d6ec	Международная система передачи межбанковской информации SWIFT с 14 июня прекращает обслуживание трех российских банков, которые в рамках шестого пакета санкций решил отключить от этой системы Евросоюз.	Tue, 14 Jun 2022 09:15:21 +0300	['CBOM']
Санкции многогазового использования // Российское эмбарго ударило по «Газпрому» и НОВАТЭКу	-0.5789473684210527	https://www.kommersant.ru/doc/5348675	РФ фактически начала вводить поэтапное эмбарго на поставки газа в ЕС: из-за принятых Россией санкций «Газпром» больше не будет поставлять газ в Германию по трубопроводу Ямал—Европа, а также снабжать свои бывшие сбытовые предприятия в стране. Но формулировки контрсанкций обернулись и против самой России. Теперь НОВАТЭК, возможно, не сумеет продать 3 млн тонн СПГ в год «Газпрому», а сам «Газпром» — до 1 млн тонн с проекта «Сахалин-2».	Thu, 12 May 2022 21:01:00 +0300	['GAZP', 'NVTK']
США расширили санкции против АЛРОСА	-0.6875	https://www.rbc.ru/politics/07/04/2022/624ef1bd9a7947cf65cabd72	Помимо этого под санкции попала Объединенная судостроительная корпорация. Обе компании подпадают под действие указа, предусматривающего блокировку активов	Fri, 08 Apr 2022 04:03:54 +0300	['ALRS']
США ограничили использование вакцины Johnson & Johnson от COVID-19	-0.35294117647058826	https://www.rbc.ru/society/14/04/2021/60764d299a7947361a8a380c	В Соединенных Штата ограничили использование вакцины Johnson & Johnson от COVID-19 из-за риска образования тромбов.	Fri, 06 May 2022 05:11:20 +0300	['JNJ']
США ввели экспортные санкции против «Аэрофлота», Utair и Azur Air	-0.6551724137931034	https://www.rbc.ru/business/24/03/2022/623c05d69a794716dbb8c697	Министерство торговли США лишил на 180 дней экспортных привилегий три российские авиакомпании: «Аэрофлот», Utair и Azur Air.	Thu, 07 Apr 2022 17:28:39 +0300	['AFLT']
СПБ Биржа не исключила приостановку торгов бумагами иностранных эмитентов	-0.2592592592592593	https://www.rbc.ru/finances/20/03/2022/6236561c9a794754466232e0	СПБ Биржа предупредила о возможной приостановке торгов ценными бумагами иностранных эмитентов, сообщается на сайте учреждения.	Wed, 20 Apr 2022 01:04:12 +0300	['SPBE']
